Site_ID,Lat,Long,Increment,Upper,Lower,LOI.SOM,Type,person
15_409,29.903475800000002,-82.3007382,25_30,25,30,3.268493303,GIW,Faith
6_93,29.9640872,-82.2113133,0_5,0,5,43.04881577,GIW,Faith
6_93,29.9640872,-82.2113133,5_10,5,10,23.02089612,GIW,Faith
6_93,29.9640872,-82.2113133,10_15,10,15,10.33229355,GIW,Faith
6_93,29.9640872,-82.2113133,15_20,15,20,8.270309434,GIW,Faith
6_93,29.9640872,-82.2113133,20_25,20,25,4.599051681,GIW,Faith
6_93,29.9640872,-82.2113133,25_30,25,30,2.956989247,GIW,Faith
6_93,29.9640872,-82.2113133,30_35,30,35,2.459904303,GIW,Faith
6_93,29.9640872,-82.2113133,35_40,35,40,0.83117085,GIW,Faith
6_93,29.9640872,-82.2113133,40_45,40,45,0.775969306,GIW,Faith
6_93,29.9640872,-82.2113133,0_5,0,5,35.30888142,GIW,Faith
6_93,29.9640872,-82.2113133,5_10,5,10,3.407821229,GIW,Faith
6_93,29.9640872,-82.2113133,10_15,10,15,3.224207698,GIW,Faith
6_93,29.9640872,-82.2113133,15_20,15,20,2.504533978,GIW,Faith
6_93,29.9640872,-82.2113133,20_25,20,25,1.384451544,GIW,Faith
6_93,29.9640872,-82.2113133,25_30,25,30,42.93248945,GIW,Faith
6_93,29.9640872,-82.2113133,30_35,30,35,-2.828970623,GIW,Faith
6_93,29.9640872,-82.2113133,35_40,35,40,1.243831154,GIW,Faith
6_93,29.9640872,-82.2113133,40_45,40,45,-0.604394149,GIW,Faith
6_93,29.9640872,-82.2113133,0_5,0,5,33.81873583,GIW,Faith
6_93,29.9640872,-82.2113133,5_10,5,10,6.350643526,GIW,Faith
6_93,29.9640872,-82.2113133,10_15,10,15,4.4602378,GIW,Faith
6_93,29.9640872,-82.2113133,15_20,15,20,2.849352828,GIW,Faith
6_93,29.9640872,-82.2113133,20_25,20,25,0.740359167,GIW,Faith
6_93,29.9640872,-82.2113133,25_30,25,30,-0.531371347,GIW,Faith
6_93,29.9640872,-82.2113133,30_35,30,35,0.974560472,GIW,Faith
6_93,29.9640872,-82.2113133,35_40,35,40,0.779138827,GIW,Faith
6_93,29.9640872,-82.2113133,40_45,40,45,2.59156986,GIW,Faith
6_93,29.9640872,-82.2113133,0_5,0,5,63.436542,GIW,Faith
6_93,29.9640872,-82.2113133,5_10,5,10,40.1423845,GIW,Faith
6_93,29.9640872,-82.2113133,10_15,10,15,36.15508311,GIW,Faith
6_93,29.9640872,-82.2113133,15_20,15,20,23.48878911,GIW,Faith
6_93,29.9640872,-82.2113133,20_25,20,25,15.05100671,GIW,Faith
6_93,29.9640872,-82.2113133,25_30,25,30,11.95155744,GIW,Faith
6_93,29.9640872,-82.2113133,30_35,30,35,7.392139725,GIW,Faith
6_93,29.9640872,-82.2113133,35_40,35,40,9.330588902,GIW,Faith
6_93,29.9640872,-82.2113133,0_5,0,5,62.26214355,GIW,Faith
6_93,29.9640872,-82.2113133,5_10,5,10,19.82470315,GIW,Faith
6_93,29.9640872,-82.2113133,10_15,10,15,9.827618787,GIW,Faith
6_93,29.9640872,-82.2113133,15_20,15,20,8.663945286,GIW,Faith
6_93,29.9640872,-82.2113133,20_25,20,25,4.499213873,GIW,Faith
6_93,29.9640872,-82.2113133,25_30,25,30,3.156364974,GIW,Faith
6_93,29.9640872,-82.2113133,30_35,30,35,1.071018757,GIW,Faith
6_93,29.9640872,-82.2113133,35_40,35,40,0.211640212,GIW,Faith
6_93,29.9640872,-82.2113133,40_45,40,45,0.264270613,GIW,Faith
6_93,29.9640872,-82.2113133,0_5,0,5,51.71823186,GIW,Faith
6_93,29.9640872,-82.2113133,5_10,5,10,23.53726216,GIW,Faith
6_93,29.9640872,-82.2113133,10_15,10,15,11.52674662,GIW,Faith
6_93,29.9640872,-82.2113133,15_20,15,20,7.485377722,GIW,Faith
6_93,29.9640872,-82.2113133,20_25,20,25,5.115850567,GIW,Faith
6_93,29.9640872,-82.2113133,25_30,25,30,4.001516323,GIW,Faith
6_93,29.9640872,-82.2113133,30_35,30,35,2.939597172,GIW,Faith
6_93,29.9640872,-82.2113133,35_40,35,40,1.648088272,GIW,Faith
6_93,29.9640872,-82.2113133,40_45,40,45,1.426391565,GIW,Faith
6_300,29.9703549,-82.2221323,0_30,0,30,11.98512126,GIW,AJ
6_300,29.970447,-82.221869,0_30,0,30,11.98512126,GIW,AJ
6_300,29.970597,-82.221709,0_30,0,30,11.98512126,GIW,AJ
6_300,29.970568,-82.221851,0_30,0,30,11.98512126,GIW,AJ
6_300,29.9703549,-82.2221323,30_60,30,60,1.125863577,GIW,AJ
6_300,29.970447,-82.221869,30_60,30,60,1.125863577,GIW,AJ
6_300,29.970597,-82.221709,30_60,30,60,1.125863577,GIW,AJ
6_300,29.970568,-82.221851,30_60,30,60,1.125863577,GIW,AJ
6_300,29.9703549,-82.2221323,0_30,0,30,11.14558155,GIW,AJ
6_300,29.970447,-82.221869,0_30,0,30,11.14558155,GIW,AJ
6_300,29.970597,-82.221709,0_30,0,30,11.14558155,GIW,AJ
6_300,29.970568,-82.221851,0_30,0,30,11.14558155,GIW,AJ
6_300,29.9703549,-82.2221323,30_60,30,60,0.656895623,GIW,AJ
6_300,29.970447,-82.221869,30_60,30,60,0.656895623,GIW,AJ
6_300,29.970597,-82.221709,30_60,30,60,0.656895623,GIW,AJ
6_300,29.970568,-82.221851,30_60,30,60,0.656895623,GIW,AJ
6_300,29.9703549,-82.2221323,0_30,0,30,9.803717747,GIW,AJ
6_300,29.970447,-82.221869,0_30,0,30,9.803717747,GIW,AJ
6_300,29.970597,-82.221709,0_30,0,30,9.803717747,GIW,AJ
