Site Location,Wetland Name,Soil Core ID,sample date,Soil sample depth increment (cm),soil sample average depth increment of the 5cm slice (cm),Water depth at time of sampling (cm),Soil surface elevation at soil coring point relative to soil surface elevation at well (cm),Sample depth-increment elevation relative to soil surface elevation at well (cm),proximity to sensor within sampling transect (sensor 1 being lowest elevation in wetland with most inundation and sensor 5 being highest in elevation leading out of the wetland),Average soil moisture content ,Average LOI SOM,dry soil mass of entire sample (g),Bulk density (g soil /cm^3),Total OM storage (kg OM / m^2)
Bradford,6_93,5,46021,0_5,2.5,dry,28,25.5,4th sensor,44.21644758,35.30888142,75.17391524,0.368177429,6.499966595
Bradford,6_93,5,46021,5_10,7.5,dry,28,20.5,4th sensor,10.67855375,3.407821229,255.0484576,1.249144536,2.128430634
Bradford,6_93,5,46021,10_15,12.5,dry,28,15.5,4th sensor,10.31910283,3.224207698,300.1260905,1.469920146,2.369663925
Bradford,6_93,5,46021,15_20,17.5,dry,28,10.5,4th sensor,8.424725823,2.504533978,564.8454487,1.383214806,1.732154241
Bradford,6_93,5,46021,20_25,22.5,dry,28,5.5,4th sensor,6.28742515,1.384451544,545.275988,1.335292374,0.924323795
Bradford,6_93,5,46021,25_30,27.5,dry,28,0.5,4th sensor,4.497352647,42.93248945,623.9283454,1.527899229,32.79825876
Bradford,6_93,5,46021,30_35,32.5,dry,28,-4.5,4th sensor,6.340416071,-2.828970623,345.528937,1.692288547,-2.393717292
Bradford,6_93,5,46021,35_40,37.5,dry,28,-9.5,4th sensor,7.780451062,1.243831154,308.2253984,1.509587926,0.938836247
Bradford,6_93,5,46021,40_45,42.5,dry,28,-14.5,4th sensor,9.077308991,-0.604394149,303.581773,1.486844957,-0.449320197
Bradford,6_93,6,46021,0_5,2.5,dry,34,31.5,"5th sensor, true upland",44.44351209,33.81873583,57.20095995,0.28015173,4.73718867
Bradford,6_93,6,46021,5_10,7.5,dry,34,26.5,"5th sensor, true upland",18.98101898,6.350643526,189.470989,0.927967386,2.946595037
Bradford,6_93,6,46021,10_15,12.5,dry,34,21.5,"5th sensor, true upland",15.13944223,4.4602378,287.6518327,1.408825281,3.141847887
Bradford,6_93,6,46021,15_20,17.5,dry,34,16.5,"5th sensor, true upland",10.54475524,2.849352828,571.0017728,1.398290645,1.992111702
Bradford,6_93,6,46021,20_25,22.5,dry,34,11.5,"5th sensor, true upland",5.686096772,0.740359167,556.9613241,1.363907865,0.504890845
Bradford,6_93,6,46021,25_30,27.5,dry,34,6.5,"5th sensor, true upland",7.431597423,-0.531371347,627.9007315,1.537626958,-0.408525454
Bradford,6_93,6,46021,30_35,32.5,dry,34,1.5,"5th sensor, true upland",7.788484546,0.974560472,302.3154534,1.480642935,0.721488038
Bradford,6_93,6,46021,35_40,37.5,dry,34,-3.5,"5th sensor, true upland",10.18962076,0.779138827,296.967,1.454447946,0.566608433
Bradford,6_93,6,46021,40_45,42.5,dry,34,-8.5,"5th sensor, true upland",11.3831007,2.59156986,290.3709939,1.42214285,1.842791273
Bradford,6_93,1,46029,0_5,2.5,dry,-12,-14.5,1st sensor,54.06391417,63.436542,32.61921455,0.159758322,5.067257751
Bradford,6_93,1,46029,5_10,7.5,dry,-12,-19.5,1st sensor,44.96445356,40.1423845,49.21828918,0.2410552,4.838265264
Bradford,6_93,1,46029,10_15,12.5,dry,-12,-24.5,1st sensor,45.75856574,36.15508311,68.59371777,0.335949759,6.07314572
Bradford,6_93,1,46029,15_20,17.5,dry,-12,-29.5,1st sensor,35.66078212,23.48878911,261.2107907,0.639662821,7.512452553
Bradford,6_93,1,46029,20_25,22.5,dry,-12,-34.5,1st sensor,25.47357926,15.05100671,361.2519192,0.884647304,6.657416257
Bradford,6_93,1,46029,25_30,27.5,dry,-12,-39.5,1st sensor,22.63886114,11.95155744,362.6767551,1.184181995,7.076409564
Bradford,6_93,1,46029,30_35,32.5,dry,-12,-44.5,1st sensor,16.8,7.392139725,273.53664,1.33969365,4.951601327
Bradford,6_93,1,46029,35_40,37.5,dry,-12,-49.5,1st sensor,18.71274289,9.330588902,131.0431872,1.283613967,5.988437118
Bradford,6_93,2,46029,0_5,2.5,dry,-7,-9.5,2nd sensor,61.60840158,62.26214355,27.6765033,0.135550527,4.219833189
Bradford,6_93,2,46029,5_10,7.5,dry,-7,-14.5,2nd sensor,34.71528472,19.82470315,113.4387213,0.555586025,5.507164015
Bradford,6_93,2,46029,10_15,12.5,dry,-7,-19.5,2nd sensor,21.88431901,9.827618787,269.3741143,1.319306951,6.482822889
Bradford,6_93,2,46029,15_20,17.5,dry,-7,-24.5,2nd sensor,19.32114791,8.663945286,516.5947578,1.265056697,5.480191005
Bradford,6_93,2,46029,20_25,22.5,dry,-7,-29.5,2nd sensor,12.3752495,4.499213873,569.832515,1.395427322,3.139162983
Bradford,6_93,2,46029,25_30,27.5,dry,-7,-34.5,2nd sensor,9.96970203,3.156364974,348.3092168,1.705905454,2.692230113
Bradford,6_93,2,46029,30_35,32.5,dry,-7,-39.5,2nd sensor,6.646803197,1.071018757,293.8385223,1.439125678,0.770665298
Bradford,6_93,2,46029,35_40,37.5,dry,-7,-44.5,2nd sensor,5.782558389,0.211640212,307.2053901,1.504592257,0.159216112
Bradford,6_93,2,46029,40_45,42.5,dry,-7,-49.5,2nd sensor,5.541663925,0.264270613,311.8447507,1.527314339,0.201812148
Bradford,6_93,4,46029,0_5,2.5,dry,0,-2.5,well,37.4251497,51.71823186,35.62386228,0.174474111,4.511746264
Bradford,6_93,4,46029,5_10,7.5,dry,0,-7.5,well,28.23581419,23.53726216,81.72505481,0.400262784,4.710545038
Bradford,6_93,4,46029,10_15,12.5,dry,0,-12.5,well,18.24526421,11.52674662,172.1836491,0.843299608,4.860250455
Bradford,6_93,4,46029,15_20,17.5,dry,0,-17.5,well,14.61289783,7.485377722,468.6044167,1.147536143,4.29487074
Bradford,6_93,4,46029,20_25,22.5,dry,0,-22.5,well,11.34848665,5.115850567,524.7194424,1.284952731,3.286813079
Bradford,6_93,4,46029,25_30,27.5,dry,0,-27.5,well,10.0778607,4.001516323,560.4936865,1.372558047,2.746156715
Bradford,6_93,4,46029,30_35,32.5,dry,0,-32.5,well,8.379220381,2.939597172,305.5094896,1.496286287,2.199239469
Bradford,6_93,4,46029,35_40,37.5,dry,0,-37.5,well,6.277978813,1.648088272,302.5440566,1.481762559,1.221037747
Bradford,6_93,4,46029,40_45,42.5,dry,0,-42.5,well,5.680120992,1.426391565,303.99297,1.488858866,1.061847864
