OID_,OBJECTID,FID,Id_overlay,gridcode_overlay,Shape_Leng,Shape_Area_overlay,Basin,sqkm,SHAPE_Length,SHAPE_Area
18,3,1,12.000000000000000,7.000000000000000,22937.526127599998290,3834022.149100000038743,7,3.834022149100000,13.533408228219633,1.712304959896536
19,4,2,14.000000000000000,6.000000000000000,33450.878361299997778,13842321.921199999749660,6,13.842321921200000,3716.788723533996745,5556.659371841624306
20,3,0,9.000000000000000,3.000000000000000,17575.639693699999043,4664374.411940000019968,3,4.664374411940000,4285.875836419345433,486.816904289942272
21,3,0,9.000000000000000,3.000000000000000,17575.639693699999043,4664374.411940000019968,3,4.664374411940000,12579.750452743322967,2833706.717470748815686
22,5,5,24.000000000000000,9.000000000000000,43407.765956800001732,22547918.114199999719858,9,22.547918114200002,35321.605990459182067,18411784.905838839709759
23,2,7,33.000000000000000,55.000000000000000,7430.779563520000011,1042212.871580000035465,5a,1.042212871580000,7427.240261672414817,1041541.399215870886110
24,2,4,21.000000000000000,14.000000000000000,17914.438427400000364,5594663.401320000179112,14,5.594663401320000,287.333007366905917,25.425741148419501
25,10,7,33.000000000000000,55.000000000000000,7430.779563520000011,1042212.871580000035465,5a,1.042212871580000,7427.240261672414817,1041541.399215870886110
26,11,3,16.000000000000000,66.000000000000000,15417.337116400000014,4375909.612429999746382,6a,4.375909612430000,0.917377454529534,0.014293830072511
27,3,3,16.000000000000000,66.000000000000000,15417.337116400000014,4375909.612429999746382,6a,4.375909612430000,15422.172250952775357,4374884.382778899744153
28,5,4,21.000000000000000,14.000000000000000,17914.438427400000364,5594663.401320000179112,14,5.594663401320000,1046.601370441558856,15299.657745693162724
29,2,9,39.000000000000000,5.000000000000000,38417.168756400002167,15324785.606100000441074,5,15.324785606100001,4.126299909697085,0.328841729747536
30,2,7,33.000000000000000,55.000000000000000,7430.779563520000011,1042212.871580000035465,5a,1.042212871580000,7665.344056292356981,671.464134359879949
31,1,2,14.000000000000000,6.000000000000000,33450.878361299997778,13842321.921199999749660,6,13.842321921200000,8324.405541603331585,281358.459724068001378
32,11,2,14.000000000000000,6.000000000000000,33450.878361299997778,13842321.921199999749660,6,13.842321921200000,116.235527530990865,567.800664744466417
33,10,9,39.000000000000000,5.000000000000000,38417.168756400002167,15324785.606100000441074,5,15.324785606100001,7187.484699610535245,654.133053424830678
34,3,2,14.000000000000000,6.000000000000000,33450.878361299997778,13842321.921199999749660,6,13.842321921200000,116.235527530990865,567.800664744466417
35,2,5,24.000000000000000,9.000000000000000,43407.765956800001732,22547918.114199999719858,9,22.547918114200002,549.712204875673478,18.647448609179584
36,2,9,39.000000000000000,5.000000000000000,38417.168756400002167,15324785.606100000441074,5,15.324785606100001,39134.595038365550863,14824832.789907645434141
37,8,9,39.000000000000000,5.000000000000000,38417.168756400002167,15324785.606100000441074,5,15.324785606100001,2.806198183428298,0.302460135122215
38,4,1,12.000000000000000,7.000000000000000,22937.526127599998290,3834022.149100000038743,7,3.834022149100000,4.416728374700631,0.091368750574160
39,1,2,14.000000000000000,6.000000000000000,33450.878361299997778,13842321.921199999749660,6,13.842321921200000,8.282136153322327,0.076756951040051
40,4,1,12.000000000000000,7.000000000000000,22937.526127599998290,3834022.149100000038743,7,3.834022149100000,13.533408228219633,1.712304959896536
41,9,9,39.000000000000000,5.000000000000000,38417.168756400002167,15324785.606100000441074,5,15.324785606100001,4.126299909697085,0.328841729747536
